,sale_id,product,unit_price,quantity,region,sales_person,total_price
0,1,Tablet,1989,8,Mombasa,James,15912
1,2,Headphones,403,7,Mombasa,James,2821
2,3,Tablet,1575,4,Kisumu,Brian,6300
3,4,Laptop,447,6,Nairobi,Brian,2682
4,5,Phone,637,5,Mombasa,James,3185
5,6,Laptop,453,4,Kisumu,Brian,1812
6,7,Laptop,1612,5,Kisumu,Mary,8060
7,8,Phone,834,7,Mombasa,Susan,5838
8,9,Laptop,923,7,Nairobi,Susan,6461
9,10,Camera,1021,3,Mombasa,Kelvin,3063
10,11,Tablet,152,6,Nairobi,Brian,912
11,12,Laptop,574,5,Nakuru,Kelvin,2870
12,13,Laptop,1345,2,Nakuru,Mary,2690
13,14,Tablet,878,3,Nakuru,Mary,2634
14,15,Laptop,736,6,Nairobi,Susan,4416
15,16,Tablet,1134,7,Nakuru,Brian,7938
16,17,Laptop,1108,7,Nakuru,Susan,7756
17,18,Camera,139,9,Kisumu,Mary,1251
18,19,Tablet,1240,6,Nairobi,James,7440
19,20,Tablet,481,2,Nairobi,Mary,962
