transaction_id,account_type,amount,transaction_type,status,client,timestamp
162,,4500,,,John,
579,Checking,200,,,Alice,Invalid
712,Credit,,,Completed,,
543,Savings,200,,Pending,Michael,
587,Checking,200,,Pending,Kim,
237,,4500,,Pending,Sarah,
839,,nan,,Pending,,
66,Savings,3000,,Failed,Michael,
70,Credit,100,Withdrawal,,Kim,Invalid
809,,3000,Transfer,,,
447,,nan,Withdrawal,Pending,John,2025-02-01
416,,3000,,Pending,,
532,Checking,,Transfer,Pending,Alice,2025-02-01
441,Credit,,Transfer,,Alice,
738,Checking,4500,,,Kim,
464,Credit,200,Transfer,Pending,Michael,
396,,nan,Transfer,Failed,Sarah,
711,,nan,Withdrawal,Completed,John,
551,Checking,3000,Transfer,Completed,Kim,
657,,4500,,Completed,John,2025-02-01
557,Credit,3000,Deposit,,Alice,2025-02-01
395,Checking,3000,Deposit,,,
326,Checking,nan,Deposit,Completed,,
893,,3000,,Completed,Sarah,2025-02-01
91,Checking,200,Deposit,Failed,John,Invalid
750,,3000,Withdrawal,,Kim,
70,,200,,,Sarah,
166,,nan,,Completed,,
642,Credit,4500,,Failed,,Invalid
214,,,Transfer,Failed,Michael,Invalid
852,,200,Transfer,Completed,,2025-02-01
601,Savings,4500,Transfer,Completed,Kim,Invalid
335,Savings,4500,,,John,
764,Checking,200,Withdrawal,Completed,Sarah,2025-02-01
369,Checking,nan,,Pending,Kim,Invalid
861,Savings,100,,Failed,Sarah,2025-02-01
584,,4500,Transfer,Completed,Sarah,2025-02-01
677,Checking,4500,,Pending,Sarah,
49,,nan,,Failed,John,2025-02-01
52,,nan,Deposit,Pending,Kim,2025-02-01
289,,3000,,Pending,Alice,Invalid
790,Checking,nan,,Completed,Alice,
626,,4500,Transfer,Failed,John,
239,Checking,200,Withdrawal,Pending,,Invalid
133,Checking,100,Withdrawal,,John,
786,,3000,Deposit,Failed,,2025-02-01
166,Savings,200,Withdrawal,,Sarah,
374,,100,Withdrawal,Completed,Kim,2025-02-01
373,,100,Transfer,,Kim,2025-02-01
805,Credit,100,Transfer,Failed,Michael,
478,,,,Pending,Michael,Invalid
755,Checking,200,Deposit,Pending,Alice,2025-02-01
479,Checking,3000,Withdrawal,Failed,Michael,2025-02-01
832,,3000,,Pending,Michael,Invalid
650,Credit,100,Deposit,,Alice,2025-02-01
591,,200,Withdrawal,Pending,,2025-02-01
682,Credit,,Withdrawal,Pending,,
635,Credit,100,Transfer,,Alice,Invalid
688,,nan,,,,2025-02-01
300,Checking,3000,Deposit,,Michael,2025-02-01
82,Checking,4500,Withdrawal,Completed,Kim,
87,Credit,100,Deposit,,Michael,
225,Checking,nan,,,Sarah,
16,Savings,3000,,Completed,,2025-02-01
822,Credit,,,Pending,,2025-02-01
358,Checking,200,Withdrawal,,Sarah,
163,Savings,3000,Transfer,Failed,Sarah,
610,,200,Withdrawal,,,
668,Checking,200,Deposit,,John,
514,Savings,,,Completed,Sarah,
350,,,Deposit,Failed,,Invalid
681,,100,,Pending,Kim,
464,Savings,100,,Pending,,2025-02-01
827,Credit,3000,Transfer,Failed,,
837,Credit,,,,,
375,Checking,nan,Withdrawal,Completed,John,2025-02-01
92,,3000,Withdrawal,Failed,John,Invalid
181,Credit,4500,,Failed,Sarah,
743,Credit,200,,Pending,Michael,2025-02-01
301,,200,Withdrawal,Completed,,2025-02-01
660,,100,Withdrawal,Failed,Alice,
792,Credit,nan,Transfer,Completed,Michael,
189,Savings,,,,Michael,
859,Checking,,Withdrawal,Pending,John,Invalid
862,Credit,100,,,John,2025-02-01
314,Credit,4500,Deposit,Completed,,
493,,3000,,,,
128,Savings,3000,Transfer,Pending,John,
519,Checking,nan,Withdrawal,Completed,Kim,
426,Credit,100,,Failed,Kim,
559,Checking,100,,,Alice,Invalid
565,,4500,,Pending,John,2025-02-01
187,Credit,3000,,Failed,Sarah,
550,Credit,100,Transfer,Pending,,2025-02-01
453,,,,Completed,John,
471,,nan,Withdrawal,Completed,Kim,Invalid
738,Credit,3000,Transfer,,John,2025-02-01
565,Checking,4500,Withdrawal,Pending,Kim,
224,Savings,nan,Deposit,Pending,John,2025-02-01
154,Checking,200,,Pending,,2025-02-01
560,,,Deposit,Completed,Sarah,
351,Savings,4500,,,Alice,Invalid
147,Checking,nan,Transfer,Pending,,Invalid
576,Checking,100,Withdrawal,Pending,Sarah,2025-02-01
349,,200,Withdrawal,Failed,Kim,2025-02-01
182,,4500,Transfer,Pending,,
637,,100,,,,2025-02-01
179,Savings,,Deposit,Failed,Michael,
39,,200,Deposit,Failed,Sarah,Invalid
772,,3000,Withdrawal,Failed,John,Invalid
894,Credit,100,Withdrawal,Completed,Alice,
3,Credit,nan,Withdrawal,Failed,John,2025-02-01
64,Savings,4500,Transfer,Pending,John,Invalid
29,Credit,200,,Completed,Sarah,
372,,100,Deposit,Completed,Alice,
523,Savings,3000,,Completed,Michael,Invalid
97,,4500,Transfer,Completed,,Invalid
870,Savings,4500,Deposit,Completed,John,Invalid
442,Savings,100,,Completed,Alice,
203,Checking,3000,Transfer,Completed,Michael,
411,Checking,,Deposit,Failed,,
21,Savings,,Transfer,,John,2025-02-01
551,Credit,200,Deposit,Pending,Alice,
735,Checking,100,Deposit,Pending,,2025-02-01
102,,200,,Failed,Sarah,
46,,,,Failed,,
66,Checking,4500,,Completed,,2025-02-01
603,Savings,200,Deposit,,John,2025-02-01
164,Credit,3000,Transfer,Completed,John,2025-02-01
111,,nan,,Failed,,
338,Checking,,,Completed,Alice,Invalid
123,Credit,,Deposit,Pending,,
705,Credit,3000,,Pending,John,
447,Credit,200,,Completed,Michael,
611,Savings,100,,,John,
291,,4500,,Completed,,2025-02-01
671,Credit,nan,Transfer,Completed,Kim,2025-02-01
412,,100,,,,Invalid
615,Checking,100,,,Michael,Invalid
897,,3000,Deposit,,Alice,
281,Savings,200,Withdrawal,Pending,Michael,Invalid
43,Savings,,Transfer,Completed,Kim,Invalid
486,,,Deposit,Failed,Kim,
596,,3000,Deposit,,John,
703,Savings,200,,,John,Invalid
51,Savings,3000,Withdrawal,Completed,,
898,,,Withdrawal,Failed,Sarah,2025-02-01
210,Savings,100,Transfer,Completed,Michael,Invalid
126,,4500,Withdrawal,Completed,,2025-02-01
492,,200,Deposit,,Sarah,2025-02-01
509,,nan,Withdrawal,,,
581,Checking,nan,Withdrawal,Pending,Kim,
777,,100,,Failed,John,Invalid
258,,3000,Deposit,Failed,John,
188,Checking,3000,Withdrawal,,,
230,Credit,,Withdrawal,,John,2025-02-01
189,Savings,100,,,Alice,Invalid
415,,,Withdrawal,Failed,,2025-02-01
10,Savings,,Withdrawal,Pending,Kim,2025-02-01
114,,nan,,Failed,,Invalid
76,Savings,,Deposit,,,
676,Checking,,Transfer,,,
502,Savings,nan,Deposit,Pending,John,Invalid
85,Savings,3000,,Completed,Kim,Invalid
49,Savings,200,Deposit,Completed,,
495,Credit,4500,Withdrawal,Failed,John,
838,Credit,,,Completed,Michael,2025-02-01
689,,200,Deposit,Completed,Kim,Invalid
387,Checking,nan,,Failed,Sarah,
389,Savings,200,Transfer,,Alice,2025-02-01
218,Savings,4500,Deposit,Completed,Sarah,2025-02-01
701,Savings,200,Withdrawal,,,2025-02-01
346,Savings,200,,Failed,Kim,2025-02-01
230,Credit,200,,,,
255,,200,,,John,2025-02-01
236,,100,,Failed,,Invalid
26,Checking,,Withdrawal,,Kim,
584,Savings,nan,Transfer,Completed,Alice,
261,,4500,,Completed,Kim,Invalid
766,,nan,Transfer,Completed,,Invalid
271,,100,,Completed,John,Invalid
123,Credit,100,Withdrawal,,Sarah,
656,,100,,Completed,Michael,
257,,,,,Sarah,
656,Credit,100,Deposit,Pending,John,Invalid
421,,200,,,,
259,,nan,Transfer,Completed,John,2025-02-01
47,,3000,Withdrawal,Pending,Alice,
863,Credit,4500,Withdrawal,Failed,Kim,
525,Savings,100,,,Kim,Invalid
888,Checking,nan,Deposit,Completed,Sarah,Invalid
208,,100,Transfer,Completed,,2025-02-01
311,Credit,,,Completed,Michael,
747,,100,,Failed,Michael,
149,Credit,100,Withdrawal,Pending,Alice,
834,Checking,100,Transfer,Pending,John,2025-02-01
438,Checking,100,Deposit,Completed,Alice,
155,Savings,4500,Withdrawal,,Kim,
678,Savings,nan,,Completed,,Invalid
90,Checking,,Withdrawal,Completed,,Invalid
698,,100,Withdrawal,,,
830,,100,,Completed,John,
358,,100,Withdrawal,Failed,Alice,
174,Savings,100,Withdrawal,Completed,,
217,,200,Transfer,Failed,Sarah,
456,Savings,200,Withdrawal,Completed,Kim,
776,Checking,3000,Deposit,Pending,,
609,,100,,,,Invalid
629,,3000,Transfer,Pending,Michael,Invalid
199,Checking,4500,Withdrawal,Completed,Alice,Invalid
832,,3000,Deposit,Completed,Kim,Invalid
486,,nan,,Failed,Kim,2025-02-01
533,Credit,200,Transfer,Completed,Michael,Invalid
200,Savings,200,Deposit,Completed,Michael,2025-02-01
371,,100,Withdrawal,Completed,Michael,Invalid
853,Checking,100,,Pending,,
448,,4500,,Failed,,
248,,,Transfer,Pending,Alice,
788,Savings,4500,Deposit,Failed,Michael,
264,Credit,nan,,Pending,Sarah,2025-02-01
58,Savings,100,Deposit,Completed,Kim,Invalid
302,,100,,Pending,Michael,
31,,4500,Transfer,Pending,Kim,
498,,4500,Withdrawal,Failed,John,Invalid
249,,4500,Deposit,Failed,,2025-02-01
605,Checking,200,,Pending,John,2025-02-01
777,Credit,3000,,Failed,Michael,2025-02-01
271,,3000,Transfer,Failed,Kim,
606,,100,Withdrawal,Failed,,2025-02-01
666,,200,Deposit,,John,2025-02-01
394,Credit,4500,,Failed,Michael,
797,Savings,100,Withdrawal,,Kim,
502,Credit,200,,,Michael,
592,Credit,nan,,Failed,,
804,Credit,,,Pending,Kim,Invalid
84,,200,,Failed,John,
365,,100,Transfer,Completed,Michael,
886,Checking,3000,,Pending,John,2025-02-01
549,Savings,4500,,,Michael,
342,,,Deposit,,Alice,2025-02-01
839,Credit,nan,,Pending,John,
407,Savings,,Transfer,Pending,John,2025-02-01
425,Savings,,Withdrawal,Failed,Sarah,Invalid
744,Checking,200,Withdrawal,,,2025-02-01
93,,100,,Completed,,2025-02-01
848,Credit,100,Withdrawal,Failed,John,Invalid
614,,,,Pending,Kim,Invalid
412,Checking,4500,Transfer,,,
432,,100,Withdrawal,Pending,Michael,2025-02-01
678,Savings,,Deposit,Pending,Alice,Invalid
159,Credit,100,,Pending,Kim,Invalid
14,,4500,Withdrawal,Failed,,
373,Checking,nan,Transfer,Completed,Kim,
225,,,Transfer,Completed,Kim,Invalid
505,Savings,3000,Deposit,,Kim,Invalid
73,Credit,3000,Transfer,Pending,,2025-02-01
249,,,Transfer,Completed,Alice,
511,,200,Withdrawal,Pending,Sarah,2025-02-01
603,Savings,nan,,,,
216,,200,,Pending,John,
602,Checking,3000,Transfer,Completed,,2025-02-01
541,,4500,Transfer,Pending,Kim,Invalid
817,,,,Completed,John,Invalid
220,,100,Transfer,,,
840,Savings,3000,Withdrawal,Pending,John,Invalid
727,Savings,nan,Withdrawal,Completed,Kim,2025-02-01
221,Checking,3000,,,Sarah,
389,,nan,Transfer,Pending,,Invalid
554,Savings,nan,Transfer,,John,Invalid
647,Checking,,,Completed,Michael,
42,Checking,nan,Transfer,Pending,John,
676,,200,Withdrawal,Pending,,
873,Credit,4500,Deposit,Pending,Kim,
283,,3000,Deposit,,Alice,2025-02-01
