sale_id,product,unit_price,quantity,region,sales_person,date,total_price
103,Headphones,1200.0,2,Kisumu,Brian,2025-01-01,2400.0
436,Headphones,150.0,,,Kelvin,,
271,Camera,,3,Nairobi,Mary,2025-01-05,
107,Phone,,4,,Kelvin,,
72,Tablet,100.0,4,Kisumu,James,,400.0
701,,2000.0,1,,Kelvin,,2000.0
21,Tablet,1200.0,3,Nakuru,Susan,2025-01-01,3600.0
615,Tablet,500.0,2,,James,,1000.0
122,Headphones,500.0,4,,Brian,2025-01-01,2000.0
467,Headphones,,4,,Susan,,
215,Phone,50.0,1,,Mary,2025-01-01,50.0
331,Tablet,1200.0,5,Nairobi,Mary,2025-01-05,6000.0
459,Tablet,150.0,2,Kisumu,Mary,,300.0
88,Camera,50.0,,Mombasa,Susan,2025-01-01,
373,Headphones,50.0,3,Mombasa,Susan,Not Available,150.0
100,Tablet,1200.0,4,Kisumu,Susan,2025-01-01,4800.0
664,,2000.0,4,Mombasa,James,,8000.0
131,Phone,,,,,,
662,,,2,Nairobi,James,,
309,,,5,Nairobi,Mary,,
770,,,4,Kisumu,,2025-01-05,
344,,500.0,2,Mombasa,Kelvin,2025-01-05,1000.0
492,Phone,,,,Mary,,
414,,500.0,1,Nairobi,Brian,,500.0
386,Tablet,500.0,5,Nairobi,James,,2500.0
192,Headphones,2000.0,3,Nakuru,Susan,2025-01-05,6000.0
277,Phone,,4,Nakuru,James,,
161,Camera,100.0,2,Nairobi,Susan,2025-01-05,200.0
460,,150.0,1,Kisumu,,,150.0
314,Phone,50.0,3,,Brian,2025-01-01,150.0
22,Laptop,500.0,2,,,Not Available,1000.0
253,Laptop,1200.0,2,,Brian,2025-01-01,2400.0
748,,1200.0,3,Nairobi,James,,3600.0
561,Headphones,150.0,1,Nairobi,Susan,Not Available,150.0
475,Tablet,1200.0,,Nairobi,,Not Available,
59,Headphones,100.0,1,Kisumu,Brian,,100.0
511,Headphones,1200.0,5,Nakuru,Mary,,6000.0
